Variable,Year,Value,RSE,Industry
Rate of return inc. capital appreciation (%),1990,-1.9,44.0,All Broadacre
Repairs and maintenance ($),1990,31910.0,6.0,All Broadacre
Rice area sown (ha),1990,1.0,23.0,All Broadacre
Sample Contributing,1990,1041.0,,All Broadacre
Seed ($),1990,3590.0,10.0,All Broadacre
Shearing crutching ($),1990,14200.0,4.0,All Broadacre
Sheep and lambs shorn (no.),1990,2136.0,3.0,All Broadacre
Sheep flock at 30 June (no.),1990,2018.0,3.0,All Broadacre
Sheep purchased ($),1990,11750.0,13.0,All Broadacre
Sheep purchased (no.),1990,170.0,18.0,All Broadacre
Sheep receipts ($),1990,32160.0,6.0,All Broadacre
Sheep sold (no.),1990,583.0,4.0,All Broadacre
Shire and PPB rates ($),1990,8270.0,4.0,All Broadacre
Sorghum area sown (ha),1990,7.0,29.0,All Broadacre
Sorghum produced (t),1990,12.0,19.0,All Broadacre
Sorghum receipts ($),1990,5030.0,20.0,All Broadacre
Steers and other beef cattle at 30 June (no.),1990,45.0,37.0,All Broadacre
Stores and rations ($),1990,820.0,9.0,All Broadacre
Telephone ($),1990,2590.0,4.0,All Broadacre
Total area cropped (ha),1990,211.0,10.0,All Broadacre
Total area irrigated (ha),1990,12.0,13.0,All Broadacre
Total cash costs ($),1990,319600.0,25.0,All Broadacre
Total cash receipts ($),1990,436490.0,18.0,All Broadacre
Total closing capital ($),1990,2560980.0,3.0,All Broadacre
Total crop gross receipts ($),1990,123510.0,10.0,All Broadacre
Total family income ($),1990,88910.0,6.0,All Broadacre
Total freight ($),1990,14290.0,13.0,All Broadacre
Total labor used (weeks),1990,109.0,3.0,All Broadacre
Total non farm income ($),1990,34780.0,6.0,All Broadacre
Total off farm wages ($),1990,11870.0,12.0,All Broadacre
Total wool sold (kg),1990,10026.0,3.0,All Broadacre
Value of land and fixed improvements ($),1990,2083130.0,3.0,All Broadacre
Vet fees ($),1990,460.0,14.0,All Broadacre
Wages for hired labor ($),1990,13200.0,14.0,All Broadacre
Water charges ($),1990,1590.0,15.0,All Broadacre
Wethers at 30 June (no.),1990,598.0,5.0,All Broadacre
Wheat area sown (ha),1990,105.0,11.0,All Broadacre
Wheat produced (t),1990,167.0,11.0,All Broadacre
Wheat receipts ($),1990,71850.0,12.0,All Broadacre
Wheat sold (t),1990,162.0,11.0,All Broadacre
Wool cut per head (kg),1990,4.7,1.0,All Broadacre
Wool produced (kg),1990,10034.0,3.0,All Broadacre
Wool receipts ($),1990,141090.0,3.0,All Broadacre
AI stud fees and herd testing ($),1990,1880.0,59.0,Beef
Accounting services ($),1990,2380.0,9.0,Beef
Advisory services ($),1990,150.0,46.0,Beef
Age of owner manager (yrs),1990,57.0,2.0,Beef
Age of spouse (yrs),1990,51.0,3.0,Beef
Agistment ($),1990,3130.0,28.0,Beef
Area operated at 30 June (ha),1990,12927.0,14.0,Beef
Barley area sown (ha),1990,3.0,36.0,Beef
Barley produced (t),1990,4.0,58.0,Beef
Barley receipts ($),1990,1440.0,73.0,Beef
Beef bulls at 30 June (no.),1990,18.0,12.0,Beef
Beef calves at 30 June (no.),1990,169.0,7.0,Beef
Beef cattle purchased ($),1990,65190.0,17.0,Beef
Beef cattle purchased (no.),1990,64.0,20.0,Beef
Beef cattle receipts ($),1990,287670.0,7.0,Beef
Beef cattle sold (no.),1990,249.0,6.0,Beef
Beef cattle transferred off farm (no.),1990,11.0,52.0,Beef
Beef cattle transferred onto farm (no.),1990,12.0,50.0,Beef
Beef cows at 30 June (no.),1990,301.0,6.0,Beef
Beef heifers at 30 June (no.),1990,67.0,9.0,Beef
Beef herd at 30 June (no.),1990,697.0,6.0,Beef
Branding rate (%),1990,77.4,3.0,Beef
Buildup in trading stocks ($),1990,13800.0,65.0,Beef
Canola area sown (ha),1990,0.0,,Beef
Canola produced (t),1990,0.0,,Beef
Canola receipts ($),1990,0.0,,Beef
Capital appreciation ($),1990,81700.0,40.0,Beef
Capital at 1 July ($),1990,2903890.0,6.0,Beef
Change in farm debt ($),1990,7490.0,139.0,Beef
Contracts - cropping ($),1990,1310.0,22.0,Beef
Contracts - livestock ($),1990,1820.0,20.0,Beef
Cotton receipts ($),1990,0.0,,Beef
Crop and pasture chemicals ($),1990,2660.0,24.0,Beef
Dairy cattle at June 30 (no.),1990,0.0,161.0,Beef
Depreciation ($),1990,33860.0,9.0,Beef
Electricity ($),1990,2370.0,10.0,Beef
Equity ratio at 30 June (%),1990,95.0,1.0,Beef
Ewes at 30 June (no.),1990,15.0,42.0,Beef
Family share of farm income ($),1990,20440.0,78.0,Beef
Farm business debt at 30 June ($),1990,151820.0,16.0,Beef
Farm business equity June 30 ($),1990,2649360.0,6.0,Beef
Farm business profit ($),1990,-14430.0,103.0,Beef
Farm cash income ($),1990,65600.0,19.0,Beef
Farm liquid assets at 30 June ($),1990,150550.0,20.0,Beef
Fertiliser ($),1990,10440.0,11.0,Beef
Field peas area sown (ha),1990,0.0,94.0,Beef
Field peas produced (t),1990,0.0,108.0,Beef
Field peas receipts ($),1990,80.0,108.0,Beef
Fodder ($),1990,12330.0,22.0,Beef
Fuel oil and grease ($),1990,15460.0,14.0,Beef
Grain legumes area sown (ha),1990,1.0,53.0,Beef
Grain legumes produced (t),1990,1.0,65.0,Beef
Grain legumes receipts ($),1990,350.0,54.0,Beef
Handling and marketing ($),1990,12000.0,7.0,Beef
Hours worked on farm - total (hrsperwk),1990,,,Beef
Hours worked on farm by owner manager (hrsperwk),1990,,,Beef
Hours worked on farm by spouse (hrsperwk),1990,,,Beef
Imputed labor cost ($),1990,59960.0,5.0,Beef
Insurance ($),1990,4380.0,11.0,Beef
Interest paid ($),1990,33600.0,18.0,Beef
Lambs at 30 June (no.),1990,11.0,44.0,Beef
Land rent ($),1990,1910.0,18.0,Beef
Leasing charges ($),1990,8530.0,67.0,Beef
Livestock materials ($),1990,5620.0,10.0,Beef
Livestock transfers - inwards ($),1990,7830.0,49.0,Beef
Livestock transfers - outward ($),1990,8030.0,59.0,Beef
Lupins area sown (ha),1990,0.0,82.0,Beef
Lupins produced (t),1990,1.0,85.0,Beef
Lupins receipts ($),1990,140.0,83.0,Beef
Net capital additions ($),1990,7900.0,168.0,Beef
Oats area sown (ha),1990,8.0,20.0,Beef
Oats produced (t),1990,2.0,41.0,Beef
Oats receipts ($),1990,50.0,54.0,Beef
Off farm contracts ($),1990,2700.0,28.0,Beef
Off farm sharefarming ($),1990,500.0,80.0,Beef
Off-farm work for owner manager (hrsperwk),1990,4.0,31.0,Beef
Off-farm work for spouse (hrsperwk),1990,2.0,27.0,Beef
Oilseeds area sown (ha),1990,16.0,87.0,Beef
Oilseeds produced (t),1990,12.0,86.0,Beef
Oilseeds receipts ($),1990,10110.0,71.0,Beef
Other administration expenses ($),1990,4680.0,11.0,Beef
Other farm income ($),1990,9640.0,15.0,Beef
Other livestock purchased ($),1990,780.0,30.0,Beef
Other livestock receipts ($),1990,3970.0,39.0,Beef
Other materials ($),1990,2170.0,14.0,Beef
Other services ($),1990,12890.0,10.0,Beef
Payments to sharefarmers ($),1990,740.0,62.0,Beef
Population,1990,19850.0,,Beef
Produce purchased for resale ($),1990,0.0,,Beef
Profit at full equity ($),1990,28780.0,39.0,Beef
Profit at full equity including capital appreciation ($),1990,110480.0,29.0,Beef
Rams at 30 June (no.),1990,1.0,34.0,Beef
Rate of return ex. capital appreciation (%),1990,1.0,39.0,Beef
Rate of return inc. capital appreciation (%),1990,3.7,28.0,Beef
Repairs and maintenance ($),1990,25350.0,9.0,Beef
Rice area sown (ha),1990,0.0,,Beef
Sample Contributing,1990,266.0,,Beef
Seed ($),1990,3670.0,35.0,Beef
Shearing crutching ($),1990,210.0,53.0,Beef
Sheep and lambs shorn (no.),1990,47.0,39.0,Beef
Sheep flock at 30 June (no.),1990,48.0,38.0,Beef
Sheep purchased ($),1990,530.0,48.0,Beef
Sheep purchased (no.),1990,16.0,42.0,Beef
Sheep receipts ($),1990,1280.0,33.0,Beef
Sheep sold (no.),1990,25.0,31.0,Beef
Shire and PPB rates ($),1990,8380.0,8.0,Beef
Sorghum area sown (ha),1990,12.0,69.0,Beef
Sorghum produced (t),1990,3.0,45.0,Beef
Sorghum receipts ($),1990,4710.0,70.0,Beef
Steers and other beef cattle at 30 June (no.),1990,141.0,10.0,Beef
Stores and rations ($),1990,1330.0,15.0,Beef
Telephone ($),1990,2230.0,7.0,Beef
Total area cropped (ha),1990,73.0,32.0,Beef
Total area irrigated (ha),1990,5.0,23.0,Beef
Total cash costs ($),1990,279870.0,9.0,Beef
Total cash receipts ($),1990,345470.0,8.0,Beef
Total closing capital ($),1990,2973730.0,6.0,Beef
Total crop gross receipts ($),1990,28710.0,45.0,Beef
Total family income ($),1990,69980.0,23.0,Beef
Total freight ($),1990,8670.0,13.0,Beef
Total labor used (weeks),1990,99.0,5.0,Beef
Total non farm income ($),1990,41450.0,14.0,Beef
Total off farm wages ($),1990,11490.0,26.0,Beef
Total wool sold (kg),1990,208.0,41.0,Beef
Value of land and fixed improvements ($),1990,2311680.0,7.0,Beef
Vet fees ($),1990,720.0,24.0,Beef
Wages for hired labor ($),1990,13920.0,14.0,Beef
Water charges ($),1990,660.0,28.0,Beef
Wethers at 30 June (no.),1990,21.0,54.0,Beef
Wheat area sown (ha),1990,6.0,71.0,Beef
Wheat produced (t),1990,16.0,85.0,Beef
Wheat receipts ($),1990,7340.0,72.0,Beef
Wheat sold (t),1990,15.0,85.0,Beef
Wool cut per head (kg),1990,4.4,8.0,Beef
Wool produced (kg),1990,211.0,41.0,Beef
Wool receipts ($),1990,2960.0,45.0,Beef
AI stud fees and herd testing ($),1990,80.0,123.0,Cropping
Accounting services ($),1990,3040.0,21.0,Cropping
Advisory services ($),1990,120.0,186.0,Cropping
Age of owner manager (yrs),1990,52.0,4.0,Cropping
Age of spouse (yrs),1990,47.0,5.0,Cropping
Agistment ($),1990,110.0,43.0,Cropping
Area operated at 30 June (ha),1990,1082.0,23.0,Cropping
Barley area sown (ha),1990,77.0,16.0,Cropping
Barley produced (t),1990,165.0,20.0,Cropping
Barley receipts ($),1990,58590.0,21.0,Cropping
Beef bulls at 30 June (no.),1990,1.0,67.0,Cropping
Beef calves at 30 June (no.),1990,12.0,26.0,Cropping
Beef cattle purchased ($),1990,7380.0,40.0,Cropping
Beef cattle purchased (no.),1990,8.0,42.0,Cropping
Beef cattle receipts ($),1990,20070.0,26.0,Cropping
Beef cattle sold (no.),1990,16.0,29.0,Cropping
Beef cattle transferred off farm (no.),1990,0.0,,Cropping
Beef cattle transferred onto farm (no.),1990,0.0,,Cropping
Beef cows at 30 June (no.),1990,16.0,24.0,Cropping
Beef heifers at 30 June (no.),1990,4.0,31.0,Cropping
Beef herd at 30 June (no.),1990,40.0,21.0,Cropping
Branding rate (%),1990,89.4,3.0,Cropping
Buildup in trading stocks ($),1990,5530.0,199.0,Cropping
Canola area sown (ha),1990,2.0,148.0,Cropping
Canola produced (t),1990,5.0,150.0,Cropping
Canola receipts ($),1990,2630.0,150.0,Cropping
Capital appreciation ($),1990,-126510.0,41.0,Cropping
Capital at 1 July ($),1990,2247950.0,15.0,Cropping
Change in farm debt ($),1990,2900.0,621.0,Cropping
Contracts - cropping ($),1990,12820.0,23.0,Cropping
Contracts - livestock ($),1990,130.0,63.0,Cropping
Cotton receipts ($),1990,2260.0,78.0,Cropping
Crop and pasture chemicals ($),1990,27180.0,67.0,Cropping
