Variable,Year,Value,RSE,Industry
Age of owner manager (yrs),2000,52.0,2.0,Dairy
Age of spouse (yrs),2000,49.0,2.0,Dairy
Agistment ($),2000,4510.0,13.0,Dairy
Area operated at 30 June (ha),2000,217.0,4.0,Dairy
Beef cattle purchased ($),2000,3310.0,27.0,Dairy
Beef cattle receipts ($),2000,19250.0,17.0,Dairy
Beef cattle sold (no.),2000,20.0,17.0,Dairy
Beef herd at 30 June (no.),2000,41.0,19.0,Dairy
Buildup in trading stocks ($),2000,10000.0,36.0,Dairy
Capital appreciation ($),2000,-62070.0,14.0,Dairy
Capital at 1 July ($),2000,2544150.0,3.0,Dairy
Change in farm debt ($),2000,6380.0,167.0,Dairy
Contracts - cropping ($),2000,7700.0,10.0,Dairy
Contracts - livestock ($),2000,180.0,34.0,Dairy
Crop and pasture chemicals ($),2000,2200.0,11.0,Dairy
Dairy cattle at June 30 (no.),2000,256.0,3.0,Dairy
Dairy cattle purchased ($),2000,7460.0,16.0,Dairy
Dairy cattle purchased (no.),2000,6.0,17.0,Dairy
Dairy cattle sold ($),2000,39670.0,5.0,Dairy
Dairy cattle sold (no.),2000,116.0,4.0,Dairy
Dairy cows at 30 June (no.),2000,165.0,3.0,Dairy
Dairy cows mated (no.),2000,168.0,3.0,Dairy
Dairy supplies ($),2000,8530.0,11.0,Dairy
Depreciation ($),2000,43060.0,5.0,Dairy
Electricity ($),2000,10590.0,4.0,Dairy
Equity ratio at 30 June (%),2000,81.0,2.0,Dairy
Family share of farm income ($),2000,67160.0,10.0,Dairy
Farm business debt at 30 June ($),2000,472140.0,8.0,Dairy
Farm business equity June 30 ($),2000,2008390.0,3.0,Dairy
Farm business profit ($),2000,7890.0,112.0,Dairy
Farm cash income ($),2000,138050.0,6.0,Dairy
Farm liquid assets at 30 June ($),2000,83290.0,23.0,Dairy
Fertiliser ($),2000,26420.0,7.0,Dairy
Fodder ($),2000,89000.0,6.0,Dairy
Fuel oil and grease ($),2000,15760.0,4.0,Dairy
Handling and marketing ($),2000,14950.0,3.0,Dairy
Hours worked on farm - total (hrsperwk),2000,142.0,3.0,Dairy
Hours worked on farm by owner manager (hrsperwk),2000,62.0,2.0,Dairy
Hours worked on farm by spouse (hrsperwk),2000,26.0,8.0,Dairy
Imputed labor cost ($),2000,97100.0,3.0,Dairy
Insurance ($),2000,6640.0,5.0,Dairy
Interest paid ($),2000,34810.0,8.0,Dairy
Land rent ($),2000,7890.0,14.0,Dairy
Leasing charges ($),2000,4500.0,16.0,Dairy
Livestock materials ($),2000,12310.0,7.0,Dairy
Livestock transfers - inwards ($),2000,320.0,67.0,Dairy
Livestock transfers - outward ($),2000,530.0,61.0,Dairy
Manufacturing milk (ltrs),2000,671822.0,4.0,Dairy
Market milk (ltrs),2000,133354.0,3.0,Dairy
Milk produced (ltrs),2000,805177.0,4.0,Dairy
Milk receipts excluding freight ($),2000,429300.0,3.0,Dairy
Net capital additions ($),2000,44090.0,30.0,Dairy
Off farm contracts ($),2000,4100.0,34.0,Dairy
Off farm sharefarming ($),2000,0.0,,Dairy
Off-farm work for owner manager (hrsperwk),2000,1.0,47.0,Dairy
Off-farm work for spouse (hrsperwk),2000,5.0,24.0,Dairy
Other administration expenses ($),2000,5260.0,4.0,Dairy
Other farm income ($),2000,9320.0,7.0,Dairy
Other livestock purchased ($),2000,310.0,45.0,Dairy
Other livestock receipts ($),2000,6390.0,46.0,Dairy
Other materials ($),2000,2850.0,12.0,Dairy
Other services ($),2000,9170.0,6.0,Dairy
Payments to sharefarmers ($),2000,11810.0,24.0,Dairy
Population,2000,12960.0,,Dairy
Produce purchased for resale ($),2000,0.0,,Dairy
Profit at full equity ($),2000,53190.0,16.0,Dairy
Profit at full equity including capital appreciation ($),2000,-8880.0,134.0,Dairy
Rate of return ex. capital appreciation (%),2000,2.1,15.0,Dairy
Rate of return inc. capital appreciation (%),2000,-0.4,135.0,Dairy
Repairs and maintenance ($),2000,36100.0,4.0,Dairy
Sample Contributing,2000,308.0,,Dairy
Seed ($),2000,3630.0,12.0,Dairy
Shearing crutching ($),2000,60.0,50.0,Dairy
Shire and PPB rates ($),2000,7340.0,7.0,Dairy
Stores and rations ($),2000,20.0,36.0,Dairy
Telephone ($),2000,2640.0,7.0,Dairy
Total area cropped (ha),2000,53.0,6.0,Dairy
Total area irrigated (ha),2000,41.0,11.0,Dairy
Total cash costs ($),2000,377510.0,4.0,Dairy
Total cash receipts ($),2000,515560.0,3.0,Dairy
Total closing capital ($),2000,2486190.0,3.0,Dairy
Total crop gross receipts ($),2000,6980.0,37.0,Dairy
Total family income ($),2000,96880.0,8.0,Dairy
Total freight ($),2000,3490.0,10.0,Dairy
Total labor used (weeks),2000,132.0,3.0,Dairy
Total non farm income ($),2000,18230.0,13.0,Dairy
Total off farm wages ($),2000,9970.0,21.0,Dairy
Value of land and fixed improvements ($),2000,1954810.0,3.0,Dairy
Vet fees ($),2000,920.0,21.0,Dairy
Wages for hired labor ($),2000,17210.0,12.0,Dairy
Water charges ($),2000,7720.0,9.0,Dairy
AI stud fees and herd testing ($),2000,960.0,83.0,Mixed
Accounting services ($),2000,3190.0,7.0,Mixed
Advisory services ($),2000,870.0,24.0,Mixed
Age of owner manager (yrs),2000,52.0,3.0,Mixed
Age of spouse (yrs),2000,50.0,3.0,Mixed
Agistment ($),2000,610.0,30.0,Mixed
Area operated at 30 June (ha),2000,1566.0,16.0,Mixed
Barley area sown (ha),2000,47.0,12.0,Mixed
Barley produced (t),2000,99.0,13.0,Mixed
Barley receipts ($),2000,30250.0,12.0,Mixed
Beef bulls at 30 June (no.),2000,2.0,20.0,Mixed
Beef calves at 30 June (no.),2000,39.0,16.0,Mixed
Beef cattle purchased ($),2000,8440.0,19.0,Mixed
Beef cattle purchased (no.),2000,10.0,23.0,Mixed
Beef cattle receipts ($),2000,63170.0,12.0,Mixed
Beef cattle sold (no.),2000,61.0,12.0,Mixed
Beef cattle transferred off farm (no.),2000,0.0,80.0,Mixed
Beef cattle transferred onto farm (no.),2000,2.0,86.0,Mixed
Beef cows at 30 June (no.),2000,56.0,14.0,Mixed
Beef heifers at 30 June (no.),2000,9.0,16.0,Mixed
Beef herd at 30 June (no.),2000,128.0,12.0,Mixed
Branding rate (%),2000,88.3,2.0,Mixed
Buildup in trading stocks ($),2000,-6080.0,76.0,Mixed
Canola area sown (ha),2000,43.0,15.0,Mixed
Canola produced (t),2000,65.0,14.0,Mixed
Canola receipts ($),2000,39560.0,15.0,Mixed
Capital appreciation ($),2000,21870.0,50.0,Mixed
Capital at 1 July ($),2000,2645920.0,5.0,Mixed
Change in farm debt ($),2000,10050.0,88.0,Mixed
Contracts - cropping ($),2000,15610.0,12.0,Mixed
Contracts - livestock ($),2000,610.0,38.0,Mixed
Cotton receipts ($),2000,2060.0,59.0,Mixed
Crop and pasture chemicals ($),2000,27140.0,9.0,Mixed
Dairy cattle at June 30 (no.),2000,1.0,80.0,Mixed
Depreciation ($),2000,41580.0,6.0,Mixed
Electricity ($),2000,3160.0,9.0,Mixed
Equity ratio at 30 June (%),2000,87.0,1.0,Mixed
Ewes at 30 June (no.),2000,988.0,8.0,Mixed
Family share of farm income ($),2000,38850.0,19.0,Mixed
Farm business debt at 30 June ($),2000,320190.0,11.0,Mixed
Farm business equity June 30 ($),2000,2209640.0,5.0,Mixed
Farm business profit ($),2000,-16260.0,52.0,Mixed
Farm cash income ($),2000,104600.0,10.0,Mixed
Farm liquid assets at 30 June ($),2000,133250.0,17.0,Mixed
Fertiliser ($),2000,37700.0,8.0,Mixed
Field peas area sown (ha),2000,5.0,29.0,Mixed
Field peas produced (t),2000,7.0,30.0,Mixed
Field peas receipts ($),2000,2220.0,30.0,Mixed
Fodder ($),2000,4160.0,18.0,Mixed
Fuel oil and grease ($),2000,26630.0,6.0,Mixed
Grain legumes area sown (ha),2000,26.0,19.0,Mixed
Grain legumes produced (t),2000,35.0,19.0,Mixed
Grain legumes receipts ($),2000,10730.0,18.0,Mixed
Handling and marketing ($),2000,28040.0,6.0,Mixed
Hours worked on farm - total (hrsperwk),2000,91.0,4.0,Mixed
Hours worked on farm by owner manager (hrsperwk),2000,48.0,4.0,Mixed
Hours worked on farm by spouse (hrsperwk),2000,12.0,9.0,Mixed
Imputed labor cost ($),2000,73200.0,4.0,Mixed
Insurance ($),2000,8380.0,5.0,Mixed
Interest paid ($),2000,25390.0,10.0,Mixed
Lambs at 30 June (no.),2000,557.0,8.0,Mixed
Land rent ($),2000,5590.0,33.0,Mixed
Leasing charges ($),2000,5320.0,23.0,Mixed
Livestock materials ($),2000,6320.0,8.0,Mixed
Livestock transfers - inwards ($),2000,1450.0,71.0,Mixed
Livestock transfers - outward ($),2000,290.0,80.0,Mixed
Lupins area sown (ha),2000,17.0,22.0,Mixed
Lupins produced (t),2000,24.0,22.0,Mixed
Lupins receipts ($),2000,5620.0,22.0,Mixed
Net capital additions ($),2000,41910.0,36.0,Mixed
Oats area sown (ha),2000,18.0,15.0,Mixed
Oats produced (t),2000,30.0,20.0,Mixed
Oats receipts ($),2000,4460.0,36.0,Mixed
Off farm contracts ($),2000,6970.0,22.0,Mixed
Off farm sharefarming ($),2000,3710.0,37.0,Mixed
Off-farm work for owner manager (hrsperwk),2000,4.0,47.0,Mixed
Off-farm work for spouse (hrsperwk),2000,7.0,16.0,Mixed
Oilseeds area sown (ha),2000,47.0,14.0,Mixed
Oilseeds produced (t),2000,68.0,14.0,Mixed
Oilseeds receipts ($),2000,41010.0,14.0,Mixed
Other administration expenses ($),2000,5650.0,10.0,Mixed
Other farm income ($),2000,18590.0,11.0,Mixed
Other livestock purchased ($),2000,260.0,32.0,Mixed
Other livestock receipts ($),2000,4330.0,45.0,Mixed
Other materials ($),2000,3420.0,12.0,Mixed
Other services ($),2000,9890.0,8.0,Mixed
Payments to sharefarmers ($),2000,15220.0,33.0,Mixed
Population,2000,17707.0,,Mixed
Produce purchased for resale ($),2000,210.0,81.0,Mixed
Profit at full equity ($),2000,16620.0,49.0,Mixed
Profit at full equity including capital appreciation ($),2000,38510.0,39.0,Mixed
Rams at 30 June (no.),2000,24.0,16.0,Mixed
Rate of return ex. capital appreciation (%),2000,0.6,48.0,Mixed
Rate of return inc. capital appreciation (%),2000,1.5,38.0,Mixed
Repairs and maintenance ($),2000,30560.0,6.0,Mixed
Rice area sown (ha),2000,2.0,72.0,Mixed
Sample Contributing,2000,266.0,,Mixed
Seed ($),2000,6420.0,13.0,Mixed
Shearing crutching ($),2000,12310.0,8.0,Mixed
Sheep and lambs shorn (no.),2000,1888.0,7.0,Mixed
Sheep flock at 30 June (no.),2000,1823.0,7.0,Mixed
Sheep purchased ($),2000,11690.0,15.0,Mixed
Sheep purchased (no.),2000,217.0,20.0,Mixed
Sheep receipts ($),2000,47020.0,10.0,Mixed
Sheep sold (no.),2000,846.0,8.0,Mixed
Shire and PPB rates ($),2000,8730.0,5.0,Mixed
Sorghum area sown (ha),2000,5.0,26.0,Mixed
Sorghum produced (t),2000,13.0,32.0,Mixed
Sorghum receipts ($),2000,2980.0,32.0,Mixed
Steers and other beef cattle at 30 June (no.),2000,22.0,17.0,Mixed
Stores and rations ($),2000,400.0,46.0,Mixed
Telephone ($),2000,2830.0,6.0,Mixed
Total area cropped (ha),2000,362.0,6.0,Mixed
Total area irrigated (ha),2000,21.0,27.0,Mixed
Total cash costs ($),2000,350370.0,5.0,Mixed
Total cash receipts ($),2000,454960.0,5.0,Mixed
Total closing capital ($),2000,2641290.0,5.0,Mixed
Total crop gross receipts ($),2000,250780.0,7.0,Mixed
Total family income ($),2000,85610.0,11.0,Mixed
Total freight ($),2000,18350.0,8.0,Mixed
Total labor used (weeks),2000,94.0,4.0,Mixed
Total non farm income ($),2000,38620.0,21.0,Mixed
Total off farm wages ($),2000,24700.0,34.0,Mixed
Total wool sold (kg),2000,9096.0,7.0,Mixed
Value of land and fixed improvements ($),2000,2239520.0,5.0,Mixed
Vet fees ($),2000,140.0,22.0,Mixed
Wages for hired labor ($),2000,10760.0,16.0,Mixed
Water charges ($),2000,3920.0,26.0,Mixed
Wethers at 30 June (no.),2000,253.0,12.0,Mixed
Wheat area sown (ha),2000,192.0,8.0,Mixed
Wheat produced (t),2000,439.0,9.0,Mixed
Wheat receipts ($),2000,136550.0,9.0,Mixed
Wheat sold (t),2000,424.0,9.0,Mixed
Wool cut per head (kg),2000,4.7,2.0,Mixed
Wool produced (kg),2000,8811.0,7.0,Mixed
Wool receipts ($),2000,60090.0,9.0,Mixed
AI stud fees and herd testing ($),2000,590.0,29.0,Sheep
Accounting services ($),2000,2640.0,8.0,Sheep
Advisory services ($),2000,520.0,52.0,Sheep
Age of owner manager (yrs),2000,53.0,2.0,Sheep
Age of spouse (yrs),2000,51.0,3.0,Sheep
Agistment ($),2000,1480.0,41.0,Sheep
Area operated at 30 June (ha),2000,6662.0,19.0,Sheep
Barley area sown (ha),2000,12.0,52.0,Sheep
Barley produced (t),2000,20.0,42.0,Sheep
Barley receipts ($),2000,6210.0,45.0,Sheep
Beef bulls at 30 June (no.),2000,3.0,39.0,Sheep
Beef calves at 30 June (no.),2000,23.0,23.0,Sheep
Beef cattle purchased ($),2000,8320.0,31.0,Sheep
Beef cattle purchased (no.),2000,11.0,27.0,Sheep
Beef cattle receipts ($),2000,35290.0,18.0,Sheep
Beef cattle sold (no.),2000,39.0,18.0,Sheep
Beef cattle transferred off farm (no.),2000,0.0,,Sheep
Beef cattle transferred onto farm (no.),2000,0.0,113.0,Sheep
Beef cows at 30 June (no.),2000,40.0,23.0,Sheep
Beef heifers at 30 June (no.),2000,7.0,24.0,Sheep
Beef herd at 30 June (no.),2000,85.0,20.0,Sheep
Branding rate (%),2000,82.4,4.0,Sheep
Buildup in trading stocks ($),2000,-5300.0,119.0,Sheep
Canola area sown (ha),2000,4.0,29.0,Sheep
Canola produced (t),2000,4.0,29.0,Sheep
Canola receipts ($),2000,2610.0,28.0,Sheep
Capital appreciation ($),2000,41270.0,43.0,Sheep
Capital at 1 July ($),2000,2332350.0,6.0,Sheep
Change in farm debt ($),2000,15830.0,70.0,Sheep
Contracts - cropping ($),2000,4090.0,26.0,Sheep
Contracts - livestock ($),2000,1300.0,26.0,Sheep
Cotton receipts ($),2000,20.0,172.0,Sheep
Crop and pasture chemicals ($),2000,5010.0,45.0,Sheep
Dairy cattle at June 30 (no.),2000,0.0,,Sheep
Depreciation ($),2000,27420.0,6.0,Sheep
Electricity ($),2000,2830.0,9.0,Sheep
Equity ratio at 30 June (%),2000,86.0,2.0,Sheep
Ewes at 30 June (no.),2000,1936.0,6.0,Sheep
Family share of farm income ($),2000,17470.0,39.0,Sheep
Farm business debt at 30 June ($),2000,329440.0,13.0,Sheep
Farm business equity June 30 ($),2000,1959120.0,7.0,Sheep
Farm business profit ($),2000,-41800.0,21.0,Sheep
Farm cash income ($),2000,59690.0,20.0,Sheep
Farm liquid assets at 30 June ($),2000,139040.0,32.0,Sheep
Fertiliser ($),2000,18190.0,16.0,Sheep
Field peas area sown (ha),2000,0.0,73.0,Sheep
Field peas produced (t),2000,0.0,77.0,Sheep
Field peas receipts ($),2000,120.0,91.0,Sheep
Fodder ($),2000,5240.0,15.0,Sheep
Fuel oil and grease ($),2000,15420.0,11.0,Sheep
Grain legumes area sown (ha),2000,6.0,58.0,Sheep
Grain legumes produced (t),2000,4.0,36.0,Sheep
Grain legumes receipts ($),2000,1250.0,50.0,Sheep
Handling and marketing ($),2000,19690.0,9.0,Sheep
Hours worked on farm - total (hrsperwk),2000,81.0,5.0,Sheep
Hours worked on farm by owner manager (hrsperwk),2000,43.0,4.0,Sheep
Hours worked on farm by spouse (hrsperwk),2000,14.0,11.0,Sheep
Imputed labor cost ($),2000,68780.0,4.0,Sheep
Insurance ($),2000,6640.0,7.0,Sheep
Interest paid ($),2000,26230.0,13.0,Sheep
Lambs at 30 June (no.),2000,793.0,8.0,Sheep
Land rent ($),2000,7990.0,22.0,Sheep
Leasing charges ($),2000,2830.0,28.0,Sheep
Livestock materials ($),2000,9340.0,8.0,Sheep
Livestock transfers - inwards ($),2000,640.0,62.0,Sheep
Livestock transfers - outward ($),2000,250.0,62.0,Sheep
Lupins area sown (ha),2000,4.0,73.0,Sheep
Lupins produced (t),2000,2.0,43.0,Sheep
Lupins receipts ($),2000,580.0,53.0,Sheep
Net capital additions ($),2000,26240.0,72.0,Sheep
Oats area sown (ha),2000,9.0,18.0,Sheep
Oats produced (t),2000,16.0,19.0,Sheep
Oats receipts ($),2000,2200.0,36.0,Sheep
Off farm contracts ($),2000,5940.0,27.0,Sheep
Off farm sharefarming ($),2000,3090.0,56.0,Sheep
Off-farm work for owner manager (hrsperwk),2000,5.0,35.0,Sheep
Off-farm work for spouse (hrsperwk),2000,8.0,21.0,Sheep
Oilseeds area sown (ha),2000,4.0,26.0,Sheep
Oilseeds produced (t),2000,5.0,27.0,Sheep
Oilseeds receipts ($),2000,3550.0,24.0,Sheep
Other administration expenses ($),2000,4430.0,9.0,Sheep
Other farm income ($),2000,14370.0,15.0,Sheep
Other livestock purchased ($),2000,260.0,60.0,Sheep
Other livestock receipts ($),2000,2840.0,68.0,Sheep
Other materials ($),2000,3310.0,12.0,Sheep
Other services ($),2000,7420.0,12.0,Sheep
Payments to sharefarmers ($),2000,350.0,69.0,Sheep
Population,2000,11618.0,,Sheep
Produce purchased for resale ($),2000,0.0,,Sheep
Profit at full equity ($),2000,-6250.0,141.0,Sheep
Profit at full equity including capital appreciation ($),2000,35030.0,50.0,Sheep
Rams at 30 June (no.),2000,46.0,11.0,Sheep
Rate of return ex. capital appreciation (%),2000,-0.3,144.0,Sheep
Rate of return inc. capital appreciation (%),2000,1.5,49.0,Sheep
Repairs and maintenance ($),2000,20690.0,10.0,Sheep
Rice area sown (ha),2000,0.0,136.0,Sheep
Sample Contributing,2000,198.0,,Sheep
Seed ($),2000,1590.0,35.0,Sheep
Shearing crutching ($),2000,26160.0,8.0,Sheep
Sheep and lambs shorn (no.),2000,4071.0,6.0,Sheep
Sheep flock at 30 June (no.),2000,3790.0,6.0,Sheep
Sheep purchased ($),2000,17760.0,18.0,Sheep
Sheep purchased (no.),2000,343.0,19.0,Sheep
Sheep receipts ($),2000,64300.0,11.0,Sheep
Sheep sold (no.),2000,1380.0,10.0,Sheep
Shire and PPB rates ($),2000,7420.0,9.0,Sheep
Sorghum area sown (ha),2000,0.0,170.0,Sheep
Sorghum produced (t),2000,0.0,170.0,Sheep
Sorghum receipts ($),2000,10.0,170.0,Sheep
Steers and other beef cattle at 30 June (no.),2000,12.0,25.0,Sheep
Stores and rations ($),2000,790.0,22.0,Sheep
Telephone ($),2000,2820.0,8.0,Sheep
Total area cropped (ha),2000,94.0,23.0,Sheep
Total area irrigated (ha),2000,6.0,30.0,Sheep
Total cash costs ($),2000,250210.0,8.0,Sheep
Total cash receipts ($),2000,309890.0,8.0,Sheep
Total closing capital ($),2000,2317740.0,6.0,Sheep
Total crop gross receipts ($),2000,34600.0,29.0,Sheep
Total family income ($),2000,67550.0,13.0,Sheep
Total freight ($),2000,6650.0,13.0,Sheep
Total labor used (weeks),2000,88.0,5.0,Sheep
Total non farm income ($),2000,39450.0,14.0,Sheep
Total off farm wages ($),2000,24210.0,19.0,Sheep
Total wool sold (kg),2000,19204.0,7.0,Sheep
Value of land and fixed improvements ($),2000,1985540.0,7.0,Sheep
Vet fees ($),2000,440.0,46.0,Sheep
Wages for hired labor ($),2000,10330.0,21.0,Sheep
Water charges ($),2000,780.0,40.0,Sheep
Wethers at 30 June (no.),2000,1014.0,11.0,Sheep
Wheat area sown (ha),2000,48.0,27.0,Sheep
Wheat produced (t),2000,50.0,36.0,Sheep
Wheat receipts ($),2000,14900.0,39.0,Sheep
Wheat sold (t),2000,47.0,36.0,Sheep
Wool cut per head (kg),2000,4.5,2.0,Sheep
Wool produced (kg),2000,18364.0,7.0,Sheep
Wool receipts ($),2000,149210.0,8.0,Sheep
AI stud fees and herd testing ($),2000,280.0,43.0,Sheep-Beef
Accounting services ($),2000,2890.0,9.0,Sheep-Beef
Advisory services ($),2000,300.0,57.0,Sheep-Beef
Age of owner manager (yrs),2000,60.0,3.0,Sheep-Beef
Age of spouse (yrs),2000,56.0,3.0,Sheep-Beef
Agistment ($),2000,2650.0,39.0,Sheep-Beef
Area operated at 30 June (ha),2000,6502.0,17.0,Sheep-Beef
Barley area sown (ha),2000,2.0,40.0,Sheep-Beef
Barley produced (t),2000,3.0,37.0,Sheep-Beef
Barley receipts ($),2000,680.0,41.0,Sheep-Beef
Beef bulls at 30 June (no.),2000,7.0,17.0,Sheep-Beef
Beef calves at 30 June (no.),2000,98.0,11.0,Sheep-Beef
Beef cattle purchased ($),2000,16490.0,22.0,Sheep-Beef
Beef cattle purchased (no.),2000,16.0,29.0,Sheep-Beef
Beef cattle receipts ($),2000,127050.0,11.0,Sheep-Beef
Beef cattle sold (no.),2000,130.0,10.0,Sheep-Beef
Beef cattle transferred off farm (no.),2000,0.0,109.0,Sheep-Beef
Beef cattle transferred onto farm (no.),2000,1.0,129.0,Sheep-Beef
Beef cows at 30 June (no.),2000,175.0,14.0,Sheep-Beef
Beef heifers at 30 June (no.),2000,35.0,13.0,Sheep-Beef
Beef herd at 30 June (no.),2000,377.0,13.0,Sheep-Beef
Branding rate (%),2000,80.3,6.0,Sheep-Beef
Buildup in trading stocks ($),2000,3290.0,213.0,Sheep-Beef
Canola area sown (ha),2000,1.0,23.0,Sheep-Beef
Canola produced (t),2000,2.0,33.0,Sheep-Beef
Canola receipts ($),2000,1270.0,28.0,Sheep-Beef
Capital appreciation ($),2000,47130.0,29.0,Sheep-Beef
Capital at 1 July ($),2000,2421480.0,6.0,Sheep-Beef
Change in farm debt ($),2000,-4150.0,241.0,Sheep-Beef
Contracts - cropping ($),2000,2390.0,19.0,Sheep-Beef
Contracts - livestock ($),2000,960.0,30.0,Sheep-Beef
Cotton receipts ($),2000,0.0,,Sheep-Beef
Crop and pasture chemicals ($),2000,2610.0,46.0,Sheep-Beef
Dairy cattle at June 30 (no.),2000,0.0,,Sheep-Beef
Depreciation ($),2000,26260.0,7.0,Sheep-Beef
Electricity ($),2000,2410.0,12.0,Sheep-Beef
Equity ratio at 30 June (%),2000,91.0,2.0,Sheep-Beef
Ewes at 30 June (no.),2000,1135.0,10.0,Sheep-Beef
Family share of farm income ($),2000,30770.0,27.0,Sheep-Beef
Farm business debt at 30 June ($),2000,221120.0,15.0,Sheep-Beef
Farm business equity June 30 ($),2000,2127770.0,7.0,Sheep-Beef
Farm business profit ($),2000,-24220.0,40.0,Sheep-Beef
Farm cash income ($),2000,70770.0,12.0,Sheep-Beef
Farm liquid assets at 30 June ($),2000,111640.0,28.0,Sheep-Beef
Fertiliser ($),2000,15760.0,12.0,Sheep-Beef
Field peas area sown (ha),2000,0.0,90.0,Sheep-Beef
Field peas produced (t),2000,0.0,109.0,Sheep-Beef
Field peas receipts ($),2000,140.0,109.0,Sheep-Beef
Fodder ($),2000,4960.0,24.0,Sheep-Beef
Fuel oil and grease ($),2000,12030.0,9.0,Sheep-Beef
Grain legumes area sown (ha),2000,1.0,43.0,Sheep-Beef
Grain legumes produced (t),2000,1.0,48.0,Sheep-Beef
Grain legumes receipts ($),2000,290.0,63.0,Sheep-Beef
Handling and marketing ($),2000,16110.0,7.0,Sheep-Beef
Hours worked on farm - total (hrsperwk),2000,85.0,6.0,Sheep-Beef
Hours worked on farm by owner manager (hrsperwk),2000,44.0,5.0,Sheep-Beef
Hours worked on farm by spouse (hrsperwk),2000,18.0,13.0,Sheep-Beef
Imputed labor cost ($),2000,72010.0,5.0,Sheep-Beef
Insurance ($),2000,5730.0,9.0,Sheep-Beef
Interest paid ($),2000,16810.0,15.0,Sheep-Beef
Lambs at 30 June (no.),2000,469.0,12.0,Sheep-Beef
Land rent ($),2000,3260.0,28.0,Sheep-Beef
Leasing charges ($),2000,1320.0,27.0,Sheep-Beef
Livestock materials ($),2000,8150.0,10.0,Sheep-Beef
Livestock transfers - inwards ($),2000,1100.0,81.0,Sheep-Beef
Livestock transfers - outward ($),2000,540.0,69.0,Sheep-Beef
Lupins area sown (ha),2000,0.0,75.0,Sheep-Beef
Lupins produced (t),2000,0.0,74.0,Sheep-Beef
Lupins receipts ($),2000,10.0,98.0,Sheep-Beef
Net capital additions ($),2000,-16190.0,217.0,Sheep-Beef
Oats area sown (ha),2000,8.0,25.0,Sheep-Beef
Oats produced (t),2000,5.0,46.0,Sheep-Beef
Oats receipts ($),2000,310.0,63.0,Sheep-Beef
Off farm contracts ($),2000,4880.0,44.0,Sheep-Beef
Off farm sharefarming ($),2000,0.0,,Sheep-Beef
Off-farm work for owner manager (hrsperwk),2000,3.0,44.0,Sheep-Beef
Off-farm work for spouse (hrsperwk),2000,4.0,27.0,Sheep-Beef
Oilseeds area sown (ha),2000,1.0,22.0,Sheep-Beef
Oilseeds produced (t),2000,2.0,32.0,Sheep-Beef
Oilseeds receipts ($),2000,1470.0,25.0,Sheep-Beef
Other administration expenses ($),2000,4000.0,11.0,Sheep-Beef
Other farm income ($),2000,10130.0,19.0,Sheep-Beef
Other livestock purchased ($),2000,300.0,59.0,Sheep-Beef
Other livestock receipts ($),2000,790.0,46.0,Sheep-Beef
Other materials ($),2000,2430.0,13.0,Sheep-Beef
Other services ($),2000,7920.0,11.0,Sheep-Beef
Payments to sharefarmers ($),2000,130.0,122.0,Sheep-Beef
Population,2000,7884.0,,Sheep-Beef
Produce purchased for resale ($),2000,0.0,,Sheep-Beef
Profit at full equity ($),2000,-3620.0,282.0,Sheep-Beef
Profit at full equity including capital appreciation ($),2000,43510.0,40.0,Sheep-Beef
Rams at 30 June (no.),2000,27.0,16.0,Sheep-Beef
Rate of return ex. capital appreciation (%),2000,-0.2,285.0,Sheep-Beef
Rate of return inc. capital appreciation (%),2000,1.8,37.0,Sheep-Beef
Repairs and maintenance ($),2000,19160.0,11.0,Sheep-Beef
Rice area sown (ha),2000,0.0,,Sheep-Beef
Sample Contributing,2000,158.0,,Sheep-Beef
Seed ($),2000,1120.0,23.0,Sheep-Beef
Shearing crutching ($),2000,15520.0,9.0,Sheep-Beef
Sheep and lambs shorn (no.),2000,2408.0,8.0,Sheep-Beef
Sheep flock at 30 June (no.),2000,2267.0,9.0,Sheep-Beef
Sheep purchased ($),2000,10990.0,14.0,Sheep-Beef
Sheep purchased (no.),2000,242.0,23.0,Sheep-Beef
Sheep receipts ($),2000,36160.0,9.0,Sheep-Beef
Sheep sold (no.),2000,872.0,9.0,Sheep-Beef
Shire and PPB rates ($),2000,7930.0,7.0,Sheep-Beef
Sorghum area sown (ha),2000,1.0,80.0,Sheep-Beef
Sorghum produced (t),2000,0.0,,Sheep-Beef
Sorghum receipts ($),2000,0.0,,Sheep-Beef
Steers and other beef cattle at 30 June (no.),2000,62.0,27.0,Sheep-Beef
Stores and rations ($),2000,1120.0,30.0,Sheep-Beef
Telephone ($),2000,2390.0,10.0,Sheep-Beef
Total area cropped (ha),2000,34.0,19.0,Sheep-Beef
Total area irrigated (ha),2000,9.0,44.0,Sheep-Beef
Total cash costs ($),2000,206080.0,7.0,Sheep-Beef
Total cash receipts ($),2000,276860.0,7.0,Sheep-Beef
Total closing capital ($),2000,2413870.0,7.0,Sheep-Beef
Total crop gross receipts ($),2000,8180.0,28.0,Sheep-Beef
Total family income ($),2000,78430.0,16.0,Sheep-Beef
Total freight ($),2000,5610.0,16.0,Sheep-Beef
Total labor used (weeks),2000,92.0,5.0,Sheep-Beef
Total non farm income ($),2000,36080.0,26.0,Sheep-Beef
Total off farm wages ($),2000,15940.0,35.0,Sheep-Beef
Total wool sold (kg),2000,11182.0,9.0,Sheep-Beef
